Package Name,Species name,Action Type,Lead RO,Priority Bin Ranking,Timeframe,Current Candidate,Range
,Island marble butterfly ,Proposed Listing Determination,R1 ,LPN 3 ,FY17 ,Y ,WA
,northern spotted owl ,12M/Uplisting ,R1 ,2,FY17 ,,"CA, OR, WA"
,Tinian monarch ,12M ,R1 ,1,FY17 ,,MP
,lesser prairie-chicken ,Discretionary Status Review,R2 ,N/A ,FY17 ,,"CO, KS, NM, OK, TX"
,San Felipe gambusia ,12M ,R2 ,2,FY17 ,,TX
,Wright's marsh thistle ,Proposed Listing Determination,R2 ,LPN 8 ,FY17 ,Y ,NM
,Kirtland's snake ,12M ,R3 ,N/A ,FY17,,"IL, IN, KY, MI, MO, OH, PA, TN"
Yellow Lance and Atlantic Pigtoe ,Atlantic pigtoe ,12M ,R4 ,N/A ,FY17 ,,"GA, NC, SC, VA"
,Barbour's map turtle ,12M ,R4 ,N/A ,FY17 ,,"AL, FL, GA"
,Beaver Pond marstonia ,12M ,R4 ,N/A ,FY17 ,,GA
,Big Blue Springs cave crayfish ,12M ,R4 ,N/A ,FY17 ,,FL
,blackfin sucker ,12M ,R4 ,2,FY17 ,,"KY, TN"
3 Southeast Darters ,bridled darter ,12M ,R4 ,N/A ,FY17 ,,"GA, TN"
Carolina Madtom and Neuse River Waterdog,Carolina madtom ,12M ,R4 ,1,FY17 ,,NC
2 Florida Mole Skinks ,Cedar Key mole skink ,12M ,R4 ,N/A ,FY17 ,,FL
2 Florida Mole Skinks ,Florida Keys mole skink ,12M ,R4 ,N/A ,FY17 ,,FL
3 Southeast Darters ,Holiday darter ,12M ,R4 ,N/A ,FY17 ,,"AL, GA, TN"
Carolina Madtom and Neuse River Waterdog,Neuse River waterdog ,12M ,R4 ,2,FY17 ,,NC
,Panama City crayfish ,12M ,R4 ,N/A ,FY17 ,,FL
3 Southeast Darters ,Trispot darter ,12M ,R4 ,N/A ,FY17 ,,"AL, TN, GA"
Yellow Lance and Atlantic Pigtoe ,Yellow lance ,12M ,R4 ,N/A ,FY17 ,,"MD, NC, SC, VA"
,Bicknell's thrush ,12M ,R5 ,N/A ,FY17,,"CT, DE, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA, VT, Canada, Bahamas, Cuba, Dominican Republic, Haiti, Jamaica"
,candy darter ,12M ,R5 ,N/A ,FY17 ,,"VA, WV"
,black-backed woodpecker (Black Hills population),12M ,R6 ,N/A ,FY17 ,,"SD, WY"
,Boreal toad (Eastern population) ,12M ,R6 ,N/A ,FY17,,"CO, ID, NM, NV, UT, WY"
,Colorado tiger beetle ,12M ,R6 ,2,FY17 ,,CO
,Fisher (Northern Rocky Mountains population) ,12M ,R6 ,N/A ,FY17,,"MT, ID, (WY - accidental)"
,white-tailed prarie dog ,12M ,R6 ,2,FY17 ,,"CO, MT, UT, WY"
,Pacific walrus ,Proposed Listing Determination,R7 ,LPN 9 ,FY17 ,Y ,AK
14 Southern Nevada Springsnails ,bifid duct pyrg ,12M ,R8 ,N/A ,FY17 ,,"NV, UT"
,black-backed woodpecker (Oregon Cascades-California population),12M ,R8 ,N/A ,FY17 ,,"CA, ND, OR"
14 Southern Nevada Springsnails ,Blue Point pyrg ,12M ,R8 ,5,FY17 ,,NV 
14 Southern Nevada Springsnails ,Butterfield pyrg ,12M ,R8 ,5,FY17 ,,NV
14 Southern Nevada Springsnails ,Corn Creek pyrg ,12M ,R8 ,5,FY17 ,,NV
14 Southern Nevada Springsnails ,flag pyrg ,12M ,R8 ,N/A ,FY17 ,,NV
14 Southern Nevada Springsnails ,grated tryonia ,12M ,R8 ,5,FY17 ,,NV
14 Southern Nevada Springsnails ,Hardy pyrg ,12M ,R8 ,N/A ,FY17 ,,NV
,Hermes copper butterfly ,Proposed Listing Determination,R8 ,LPN 5 ,FY17 ,Y ,CA
14 Southern Nevada Springsnails ,Hubbs pyrg ,12M ,R8 ,5,FY17 ,,NV
14 Southern Nevada Springsnails ,Lake Valley pyrg ,12M ,R8 ,N/A ,FY17 ,,NV
14 Southern Nevada Springsnails ,Moapa pebblesnail ,12M ,R8 ,5,FY17 ,,NV
14 Southern Nevada Springsnails ,Moapa Valley pyrg ,12M ,R8 ,5,FY17 ,,NV
,Mojave shoulderband snail ,12M ,R8 ,N/A ,FY17 ,,CA
14 Southern Nevada Springsnails ,Pahranagat pebblesnail ,12M ,R8 ,5,FY17 ,,NV
,San Joaquin Valley giant flower-loving fly,12M ,R8 ,1,FY17 ,,CA
